67.3,67.81,67.78,67.83,68.66,68.66,67.76,67.8,68.24,68.24
65.96,66.55,66.49,66.98,66.01,67.3,66.44,66.84,66.38,66.44
66.32,66.33,65.89,66.78,66.38,66.4,66.42,66.4,66.52,67.27
65.93,66.42,66.44,66.4,65.94,66.42,66.4,66.42,65.96,66.4
66.91,66.08,65.6,66.08,66.08,66.91,66.03,67.01,67.32,66.93
66.96,67.42,67.86,67.01,67.03,67.01,67.42,67.85,66.54,67.86
103.48,102.59,103.07,103.5,101.32,101.35,103.48,102.15,100.93,102.63
74.66,76.16,76.58,76.09,75.73,77.01,76.06,76.01,76.91,76.93
72.54,72.0,72.35,73.18,71.86,72.33,72.76,72.33,72.69,73.07
72.23,71.94,72.3,72.33,71.94,72.5,71.71,71.84,71.94,72.54
73.68,72.83,72.84,73.2,73.22,73.25,73.66,73.44,73.66,73.66
97.29,95.54,97.24,94.74,94.79,94.25,95.05,93.93,94.77,95.15
95.1,97.61,93.86,94.37,93.02,92.48,94.64,93.45,95.11,97.22
121.07,101.91,170.0,2205.8,99.18,97.75,97.48,98.18,113.1,197.44
122.13,122.69,170.22,157.15,121.02,100.81,115.0,173.84,121.87,122.6
110.89,178.53,120.17,122.96,120.72,121.02,122.5,123.49,120.94,120.99
122.35,120.39,121.33,120.6,120.61,122.48,121.82,121.82,121.4,121.18
123.11,122.35,122.59,121.23,122.33,125.1,126.09,122.14,121.46,119.75
180.76,121.01,121.99,123.13,120.12,121.82,121.53,121.89,120.19,122.88
